부류코드,부류명,품목코드,품목명,단위,당일,1일전,10일전,20일전,1개월전,1년전,등락,등락률
100,식량작물,272,쌀/일반계,20kg,48943,48943,50983,50905,49086,61414,0,2040
100,식량작물,274,찹쌀/일반계,1kg,3937,3937,3874,3973,3946,4754,1,63
100,식량작물,275,콩/흰 콩(국산),500g,6298,6413,5813,5797,6413,6206,1,600
100,식량작물,277,팥/붉은 팥(국산),500g,8557,8557,7568,7663,8775,9327,1,989
100,식량작물,279,녹두/국산,500g,14050,14050,11348,11281,14050,14240,1,2702
100,식량작물,281,고구마/밤,1kg,5074,5074,5264,5343,5208,7079,0,190
100,식량작물,285,감자/수미,100g,473,480,480,485,550,286,2,0
200,채소류,289,배추/봄,1포기,4433,4340,4068,4168,3896,2899,1,272
200,채소류,297,양배추/양배추,1포기,4000,4000,3675,3819,4102,3220,1,325
200,채소류,299,시금치/시금치,1kg,11918,10688,10324,9175,7276,7566,1,364
200,채소류,301,상추/적,100g,1969,1657,1067,909,899,1101,1,590
200,채소류,303,상추/청,100g,2082,1718,1146,1002,989,1143,1,572
200,채소류,305,얼갈이배추/얼갈이배추,1kg,3500,3231,2804,2615,2668,2377,1,427
200,채소류,307,수박/수박,1개,18718,18638,19868,21866,21013,17695,0,1230
200,채소류,309,참외/참외,10개,14904,14090,16985,21201,20303,15391,0,2895
200,채소류,311,오이/가시계통,10개,14970,14970,9905,9235,9300,8710,1,5065
200,채소류,313,오이/다다기계통,10개,9681,7957,7072,6401,6150,7013,1,885
200,채소류,315,오이/취청,10개,12572,10870,10832,9803,8289,9275,1,38
200,채소류,317,호박/애호박,1개,2094,1729,1673,1263,1124,1111,1,56
200,채소류,319,호박/쥬키니,1개,1815,1815,1524,1184,1287,1224,1,291
200,채소류,321,토마토/토마토,1kg,3507,3341,3927,4117,3962,3943,0,586
200,채소류,325,무/봄,1개,1,1,1,1,1,1,2,0
200,채소류,335,당근/무세척,1kg,3914,3914,3666,3661,3669,3034,1,248
200,채소류,339,열무/열무,1kg,4147,3747,3109,2677,2699,2599,1,638
200,채소류,345,건고추/양건,600g,18650,18650,16842,17008,18650,23950,1,1808
200,채소류,349,풋고추/풋고추,100g,1670,1670,1528,1494,1578,1294,1,142
200,채소류,351,풋고추/꽈리고추,100g,1477,1477,1407,1286,1426,1237,1,70
200,채소류,353,풋고추/청양고추,100g,1311,1274,1123,1114,1065,1016,1,151
200,채소류,1998,풋고추/오이맛고추,150g,1,1,1,1,1,1,2,0
200,채소류,355,붉은고추/붉은고추,100g,1721,1721,1724,1608,1594,1472,0,3
200,채소류,357,깐마늘(국산)/깐마늘(국산),1kg,13773,13773,13344,13356,13325,11573,1,429
200,채소류,361,양파/양파,1kg,2543,2436,2424,2133,1896,1889,1,12
200,채소류,365,파/대파,1kg,2826,2981,2947,3051,2699,2131,1,34
200,채소류,367,파/쪽파,1kg,11900,12253,10601,8567,8085,5259,1,1652
200,채소류,369,생강/국산,1kg,8197,8113,8663,8366,7837,11704,0,550
200,채소류,680,고춧가루/중국,1kg,12000,12000,12409,12341,12000,11500,0,409
200,채소류,679,고춧가루/국산,1kg,31080,31080,29931,29863,31205,39940,1,1149
200,채소류,373,미나리/미나리,100g,700,700,543,543,515,521,1,157
200,채소류,375,깻잎/깻잎,100g,2489,2364,2399,2371,2557,1907,0,35
200,채소류,379,피망/청,100g,1340,1340,1207,1111,1213,1285,1,133
200,채소류,381,파프리카/파프리카,200g,1199,1251,1370,1405,1316,1012,0,119
200,채소류,383,멜론/멜론,1개,8466,8547,9722,10332,11870,8485,0,1175
200,채소류,437,방울토마토/방울토마토,1kg,7617,7617,7348,7424,7187,5684,1,269
200,채소류,1080,방울토마토/대추방울토마토,1kg,5160,5160,5563,5824,5822,5137,0,403
300,특용작물,385,참깨/백색(국산),500g,19600,19600,17000,16912,17900,17200,1,2600
300,특용작물,388,땅콩/국산,100g,2763,2763,2753,2693,2763,2769,1,10
300,특용작물,391,느타리버섯/느타리버섯,100g,1427,1427,1037,1071,1423,1443,1,390
300,특용작물,1011,느타리버섯/애느타리버섯,100g,553,553,537,562,553,467,1,16
300,특용작물,393,팽이버섯/팽이버섯,150g,567,563,591,594,567,477,0,28
300,특용작물,395,새송이버섯/새송이버섯,100g,619,619,605,591,599,549,1,14
400,과일류,398,사과/후지,10개,30920,30920,29306,27922,32345,30375,1,1614
400,과일류,404,배/신고,10개,36050,36050,40643,39985,37143,48076,0,4593
400,과일류,429,바나나/수입,100g,345,345,342,326,320,300,1,3
400,과일류,673,참다래/그린 뉴질랜드,10개,8823,8823,8519,8842,8823,7228,1,304
400,과일류,675,파인애플/수입,1개,6327,6327,6663,6544,6160,5993,0,336
400,과일류,433,오렌지/네이블 미국,10개,14267,14267,15069,14942,14320,9720,0,802
400,과일류,606,레몬/수입,10개,9747,9747,9854,9153,9224,9838,0,107
400,과일류,608,체리/수입,100g,3208,3184,3473,2977,2880,1831,0,289
400,과일류,2009,아보카도/수입,1개,1,1,1,1,1,1,2,0
600,수산물,476,건미역/건미역,100g,2970,2970,3009,2939,2970,2658,0,39
600,수산물,683,새우젓/새우젓,1kg,21596,21596,21180,21333,22713,23295,1,416
600,수산물,684,멸치액젓/멸치액젓,1kg,5091,5091,5485,5448,5371,5201,0,394
600,수산물,685,굵은소금/굵은소금,5kg,12829,12829,11241,11173,12793,10076,1,1588
800,가공식품,1584,콩나물/풀무원 국산콩 콩나물 340g,1봉,2542,2542,2605,2598,2594,2516,0,63
800,가공식품,1583,맛김(조미김)/동원에프앤비 양반 들기름김 5g×20봉,1묶음,7720,7720,8158,8618,8874,8212,0,438
800,가공식품,1582,간장/샘표 양조간장 501 1.8L,1개,12082,12082,13672,12186,12812,11500,0,1590
800,가공식품,1581,된장/청정원 재래식 생된장 1kg,1개,6413,6602,6475,8070,8100,6658,1,127
800,가공식품,1580,고추장/해찬들 우리쌀로만든 태양초고추장 1kg,1개,16296,16624,17604,13671,14558,12978,0,980
800,가공식품,1579,김치/대상 종가집 포기김치 3.3kg,1개,28580,28800,28800,29226,29400,26620,2,0
800,가공식품,1578,두부/풀무원 국산콩 300g×2,1개,5580,5580,5297,5470,5578,5124,1,283
800,가공식품,1577,즉석밥/CJ 햇반 백미밥 210g×8개,1묶음,10500,10500,10829,10788,10700,9708,0,329
100,식량작물,1,쌀/일반계,20kg,44200,44200,47580,48080,44325,58000,0,3380
100,식량작물,8,콩/흰 콩(국산),40kg,240000,240000,238850,240000,240000,257143,1,1150
100,식량작물,13,팥/붉은 팥(국산),40kg,360000,360000,363200,363200,360000,483000,0,3200
100,식량작물,16,녹두/국산,40kg,736000,736000,699563,699250,736000,813000,1,36437
100,식량작물,20,고구마/밤,10kg,33000,33000,31770,30880,31000,44560,1,1230
100,식량작물,24,감자/수미,20kg,40000,42000,40375,37880,40000,22820,1,1625
200,채소류,30,배추/고랭지,10kg,1,1,1,1,1,1,2,0
200,채소류,36,양배추/양배추,8kg,8330,9000,7291,6692,5165,6600,1,1709
200,채소류,38,시금치/시금치,4kg,53500,51700,20850,15120,14500,17840,1,30850
200,채소류,40,상추/적,4kg,88200,87700,28600,21420,16450,19900,1,59100
200,채소류,42,상추/청,4kg,87700,86200,28750,18120,15675,21960,1,57450
200,채소류,44,얼갈이배추/얼갈이배추,4kg,19200,19500,9597,7250,6500,8998,1,9903
200,채소류,46,수박/수박,1개,19100,18800,16790,16140,23100,17800,1,2010
200,채소류,48,참외/참외,10kg,37600,37600,31305,35720,33800,34680,1,6295
200,채소류,52,오이/다다기계통,100개,139000,108000,47217,41067,37975,41120,1,60783
200,채소류,54,오이/취청,50개,82500,69000,25625,24333,19825,22620,1,43375
200,채소류,56,호박/애호박,20개,46500,42000,24255,21860,15600,13860,1,17745
200,채소류,58,호박/쥬키니,10kg,56500,45700,16250,10250,9300,10372,1,29450
200,채소류,60,토마토/토마토,5kg,10000,9830,11655,12060,10600,13300,0,1825
200,채소류,66,무/고랭지,20kg,1,1,1,1,1,1,2,0
200,채소류,74,당근/무세척,20kg,42300,42300,40260,37120,36000,25000,1,2040
200,채소류,79,열무/열무,4kg,17700,20700,11604,8172,9488,11432,1,9096
200,채소류,81,건고추/화건,30kg,600000,600000,543600,543600,600000,800000,1,56400
200,채소류,85,건고추/양건,30kg,750000,750000,683400,683400,750000,1050000,1,66600
200,채소류,90,풋고추/풋고추,10kg,100000,74700,55670,54820,67650,82220,1,19030
200,채소류,92,풋고추/꽈리고추,4kg,42200,37500,31490,32680,32050,32480,1,6010
200,채소류,94,풋고추/청양고추,10kg,90500,94500,65765,60680,59825,63780,1,28735
200,채소류,1996,풋고추/오이맛고추,10kg,1,1,1,1,1,1,2,0
200,채소류,96,붉은고추/붉은고추,10kg,64700,66200,60325,75980,79550,70600,1,5875
200,채소류,1498,피마늘/난지(대서),10kg,60000,60000,60000,62600,60000,50000,2,0
200,채소류,1003,깐마늘(국산)/깐마늘(남도),20kg,175000,175000,175000,175000,175000,149600,2,0
200,채소류,1001,깐마늘(국산)/깐마늘(대서),20kg,168000,170000,176250,176000,170000,135000,0,6250
200,채소류,1506,깐마늘(국산)/햇깐마늘(남도),20kg,1,1,1,1,1,1,2,0
200,채소류,1504,깐마늘(국산)/햇깐마늘(대서),20kg,1,1,1,1,1,1,2,0
200,채소류,117,양파/양파,15kg,21100,21100,22665,18840,19525,12105,0,1565
200,채소류,122,파/대파,1kg,2100,2000,2016,1956,1905,1338,0,16
200,채소류,124,파/쪽파,1kg,8500,8500,10882,8698,8000,5000,0,2382
200,채소류,126,생강/국산,10kg,33000,33000,35460,35260,33000,52000,0,2460
200,채소류,131,미나리/미나리,7.5kg,45000,46600,31390,27620,29575,21780,1,15210
200,채소류,133,깻잎/깻잎,2kg,26200,24000,21980,24020,26425,16820,1,2020
200,채소류,137,피망/청,10kg,45200,42000,40615,29520,33750,35740,1,1385
200,채소류,139,파프리카/파프리카,5kg,16200,15700,15375,16560,18900,23180,1,325
200,채소류,141,멜론/멜론,8kg,26800,26800,25060,30740,41200,26000,1,1740
200,채소류,1076,방울토마토/대추방울토마토,1kg,4000,3910,4285,4304,4300,3796,0,375
300,특용작물,143,참깨/백색(국산),30kg,825000,825000,843000,846000,825000,901000,0,18000
300,특용작물,146,들깨/국산,22.5kg,322000,322000,329000,329000,322000,352500,0,7000
300,특용작물,149,땅콩/국산,30kg,400000,400000,430000,434000,400000,490000,0,30000
300,특용작물,152,느타리버섯/느타리버섯,2kg,13700,13000,15180,13600,15100,5932,0,2180
300,특용작물,1005,느타리버섯/애느타리버섯,2kg,8250,8500,7924,7732,7813,7130,1,576
300,특용작물,154,팽이버섯/팽이버섯,5kg,10000,10000,11175,11740,11600,8864,0,1175
300,특용작물,156,새송이버섯/새송이버섯,2kg,8500,9000,9103,9516,9313,7998,0,103
400,과일류,198,사과/후지,10kg,59300,59300,56870,53200,39000,79120,1,2430
400,과일류,204,배/신고,15kg,71600,71600,77105,73180,60050,100000,0,5505
400,과일류,212,복숭아/백도,4.5kg,1,1,1,1,1,1,2,0
400,과일류,220,포도/거봉,2kg,1,1,1,1,1,1,2,0
400,과일류,234,바나나/수입,13kg,28000,28000,31200,32840,34000,28300,0,3200
400,과일류,238,참다래/그린 뉴질랜드,10kg,44600,44600,46040,46060,45000,42600,0,1440
400,과일류,240,파인애플/수입,12kg,32000,32000,32180,32720,32000,26300,0,180
400,과일류,246,오렌지/발렌시아 미국,18kg,1,1,1,1,1,1,2,0
400,과일류,666,레몬/수입,17kg,74000,74000,75340,67780,70000,79660,0,1340
400,과일류,664,체리/수입,5kg,120000,120000,124800,112000,100800,64300,0,4800
400,과일류,669,망고/수입,5kg,52600,52600,56510,53120,48900,46100,0,3910
600,수산물,265,건미역/건미역,1kg,13000,13000,13460,13560,13000,10000,0,460
